taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
5400, 2016-12-16 08:45:00; 300, 0; 525; 20; bankkártya
2538, 2016-12-31 17:15:00; 540, 0; 675; 0; készpénz
5856, 2016-12-29 18:45:00; 300, 0; 525; 0; készpénz
3449, 2016-12-02 17:15:00; 60, 0; 325; 0; készpénz
1098, 2016-12-30 12:45:00; 660, 0; 145; 20; bankkártya
3514, 2016-12-09 09:15:00; 600, 0; 1075; 0; készpénz
2643, 2016-12-01 23:45:00; 180, 0; 425; 0; készpénz
4359, 2016-12-13 19:00:00; 780, 0; 75; 0; készpénz
5114, 2016-12-13 18:15:00; 5100, 0; 4875; 60; bankkártya
3465, 2016-12-30 12:45:00; 240, 0; 50; 0; készpénz
8397, 2016-12-15 14:00:00; 335, 0; 50; 0; készpénz
2643, 2016-12-07 17:30:00; 3540, 0; 4275; 60; bankkártya
4849, 2016-12-07 12:00:00; 60, 0; 325; 0; készpénz
2819, 2016-12-26 22:15:00; 240, 0; 55; 0; készpénz
1587, 2016-12-17 21:00:00; 2220, 0; 445; 50; bankkártya
4638, 2016-12-21 23:00:00; 600, 0; 875; 30; bankkártya
5659, 2016-12-04 02:00:00; 120, 0; 475; 0; készpénz
4531, 2016-12-01 21:15:00; 540, 0; 725; 0; készpénz
1262, 2016-12-15 10:00:00; 240, 0; 50; 0; készpénz
53, 2016-12-18 01:15:00; 300, 0; 55; 0; készpénz
6923, 2016-12-20 17:00:00; 240, 0; 425; 0; készpénz
1901, 2016-12-09 15:15:00; 840, 0; 95; 0; készpénz
1098, 2016-12-04 15:45:00; 600, 0; 95; 0; készpénz
4870, 2016-12-13 20:15:00; 120, 0; 375; 0; készpénz
7810, 2016-12-17 13:15:00; 60, 0; 1; 0; készpénz
4770, 2016-12-13 17:45:00; 600, 0; 1125; 0; készpénz
5475, 2016-12-20 18:00:00; 300, 0; 55; 0; készpénz
2121, 2016-12-22 14:15:00; 420, 0; 625; 20; bankkártya
2066, 2016-12-15 20:30:00; 240, 0; 60; 10; bankkártya
6749, 2016-12-14 16:15:00; 360, 0; 60; 0; készpénz
5114, 2016-12-20 19:30:00; 2040, 0; 3225; 805; bankkártya
1347, 2016-12-15 05:00:00; 60, 0; 325; 0; készpénz
2901, 2016-12-06 20:45:00; 1200, 0; 275; 825; bankkártya
